Code,Level,Description,ISIC code
47411,5,Retail sale of handphones and peripheral equipment,4741
47411,5,Retail sale of handphones and peripheral equipment,4791
47411,5,Retail sale of handphones and peripheral equipment,4799
47412,5,"Retail sale of computer hardware (including handheld computers) and peripheral equipment, and computer software (except games and cybersecurity hardware and software)",4741
47412,5,"Retail sale of computer hardware (including handheld computers) and peripheral equipment, and computer software (except games and cybersecurity hardware and software)",4791
47412,5,"Retail sale of computer hardware (including handheld computers) and peripheral equipment, and computer software (except games and cybersecurity hardware and software)",4799
47413,5,Retail sale of computer games (including electronic games and video game consoles),4741
47413,5,Retail sale of computer games (including electronic games and video game consoles),4791
47413,5,Retail sale of computer games (including electronic games and video game consoles),4799
47414,5,Retail sale of computer and office equipment consumables (e.g. printer cartridges),4741
47414,5,Retail sale of computer and office equipment consumables (e.g. printer cartridges),4791
47414,5,Retail sale of computer and office equipment consumables (e.g. printer cartridges),4799
47415,5,"Retail sale of cybersecurity software, hardware and peripheral equipment",4741
47415,5,"Retail sale of cybersecurity software, hardware and peripheral equipment",4791
47415,5,"Retail sale of cybersecurity software, hardware and peripheral equipment",4799
47420,5,"Retail sale of audio and video equipment (e.g. radio and television sets, sound reproducing and recording equipment)",4742
47420,5,"Retail sale of audio and video equipment (e.g. radio and television sets, sound reproducing and recording equipment)",4791
47420,5,"Retail sale of audio and video equipment (e.g. radio and television sets, sound reproducing and recording equipment)",4799
47510,5,Retail sale of textiles,4751
47510,5,Retail sale of textiles,4791
47510,5,Retail sale of textiles,4799
47521,5,Retail sale of paints,4752
47521,5,Retail sale of paints,4791
47521,5,Retail sale of paints,4799
47522,5,"Retail sale of hardware (e.g. chains, changkols, axes)",4752
47522,5,"Retail sale of hardware (e.g. chains, changkols, axes)",4791
47522,5,"Retail sale of hardware (e.g. chains, changkols, axes)",4799
47529,5,"Retail sale of hardware, paint and glass n.e.c. (e.g. wood, glass, sanitary ware, Do-It-Yourself materials)",4752
47529,5,"Retail sale of hardware, paint and glass n.e.c. (e.g. wood, glass, sanitary ware, Do-It-Yourself materials)",4791
47529,5,"Retail sale of hardware, paint and glass n.e.c. (e.g. wood, glass, sanitary ware, Do-It-Yourself materials)",4799
47531,5,"Retail sale of furniture (including mattresses, cushions)",4759
47531,5,"Retail sale of furniture (including mattresses, cushions)",4791
47531,5,"Retail sale of furniture (including mattresses, cushions)",4799
47532,5,"Retail sale of furnishings (e.g. curtains, carpets, pillow cases)",4753
47532,5,"Retail sale of furnishings (e.g. curtains, carpets, pillow cases)",4791
47532,5,"Retail sale of furnishings (e.g. curtains, carpets, pillow cases)",4799
47533,5,Retail sale of lighting and lighting accessories,4759
47533,5,Retail sale of lighting and lighting accessories,4791
47533,5,Retail sale of lighting and lighting accessories,4799
47534,5,"Retail sale of crockery, cutlery and kitchen utensils",4759
47534,5,"Retail sale of crockery, cutlery and kitchen utensils",4791
47534,5,"Retail sale of crockery, cutlery and kitchen utensils",4799
47535,5,"Retail sale of household electrical appliances and equipment (e.g. vacuum cleaners, washing machines, refrigerators)",4759
47535,5,"Retail sale of household electrical appliances and equipment (e.g. vacuum cleaners, washing machines, refrigerators)",4791
47535,5,"Retail sale of household electrical appliances and equipment (e.g. vacuum cleaners, washing machines, refrigerators)",4799
47536,5,Retail sale of musical instruments and scores,4759
47536,5,Retail sale of musical instruments and scores,4791
47536,5,Retail sale of musical instruments and scores,4799
47537,5,Retail sale of security and safety equipment,4759
47537,5,Retail sale of security and safety equipment,4791
47537,5,Retail sale of security and safety equipment,4799
47539,5,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles n.e.c.",4759
47539,5,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles n.e.c.",4791
47539,5,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles n.e.c.",4799
47610,5,"Retail sale of books, newspapers and stationery (including newsvendors)",4761
47610,5,"Retail sale of books, newspapers and stationery (including newsvendors)",4774
47610,5,"Retail sale of books, newspapers and stationery (including newsvendors)",4791
47610,5,"Retail sale of books, newspapers and stationery (including newsvendors)",4799
47620,5,"Retail sale of music and video recordings (e.g. DVDs, Blu-ray discs)",4762
47620,5,"Retail sale of music and video recordings (e.g. DVDs, Blu-ray discs)",4774
47620,5,"Retail sale of music and video recordings (e.g. DVDs, Blu-ray discs)",4791
47620,5,"Retail sale of music and video recordings (e.g. DVDs, Blu-ray discs)",4799
47630,5,"Retail sale of sports apparel and equipment (including bicycles, boats and healthcare equipment)",4763
47630,5,"Retail sale of sports apparel and equipment (including bicycles, boats and healthcare equipment)",4791
47630,5,"Retail sale of sports apparel and equipment (including bicycles, boats and healthcare equipment)",4799
47640,5,Retail sale of games and toys,4764
47640,5,Retail sale of games and toys,4791
47640,5,Retail sale of games and toys,4799
47711,5,Retail sale of clothing for adults,4771
47711,5,Retail sale of clothing for adults,4791
47711,5,Retail sale of clothing for adults,4799
47712,5,Retail sale of children and infants’ clothing (including products and accessories for infants),4771
47712,5,Retail sale of children and infants’ clothing (including products and accessories for infants),4791
47712,5,Retail sale of children and infants’ clothing (including products and accessories for infants),4799
47713,5,Retail sale of footwear,4771
47713,5,Retail sale of footwear,4791
47713,5,Retail sale of footwear,4799
47714,5,"Retail sale of bags, luggage and travel accessories",4771
47714,5,"Retail sale of bags, luggage and travel accessories",4791
47714,5,"Retail sale of bags, luggage and travel accessories",4799
47715,5,"Retail sale of sewing and clothing accessories (e.g. button, thread, lace, zip, belt, tie)",4771
47715,5,"Retail sale of sewing and clothing accessories (e.g. button, thread, lace, zip, belt, tie)",4791
47715,5,"Retail sale of sewing and clothing accessories (e.g. button, thread, lace, zip, belt, tie)",4799
47719,5,"Retail sale of clothing, footwear and leather articles n.e.c.",4771
47719,5,"Retail sale of clothing, footwear and leather articles n.e.c.",4791
47719,5,"Retail sale of clothing, footwear and leather articles n.e.c.",4799
47721,5,Retail sale of cosmetics and toiletries (including skin care products),4772
47721,5,Retail sale of cosmetics and toiletries (including skin care products),4791
47721,5,Retail sale of cosmetics and toiletries (including skin care products),4799
47722,5,Pharmacies and drug stores (Western),4772
47722,5,Pharmacies and drug stores (Western),4791
47722,5,Pharmacies and drug stores (Western),4799
47723,5,Chinese medicine shops,4772
47723,5,Chinese medicine shops,4791
47723,5,Chinese medicine shops,4799
47729,5,Retail sale of pharmaceutical and medical goods n.e.c.,4772
47729,5,Retail sale of pharmaceutical and medical goods n.e.c.,4791
47729,5,Retail sale of pharmaceutical and medical goods n.e.c.,4799
47731,5,Retail sale of jewellery made from precious metals and stones,4773
47731,5,Retail sale of jewellery made from precious metals and stones,4791
47731,5,Retail sale of jewellery made from precious metals and stones,4799
47732,5,Retail sale of costume jewellery,4773
47732,5,Retail sale of costume jewellery,4791
47732,5,Retail sale of costume jewellery,4799
47733,5,Retail sale of watches and clocks,4773
47733,5,Retail sale of watches and clocks,4791
47733,5,Retail sale of watches and clocks,4799
47739,5,Retail sale of personal effects n.e.c.,4773
47739,5,Retail sale of personal effects n.e.c.,4791
47739,5,Retail sale of personal effects n.e.c.,4799
47741,5,Retail sale of antiques and works of art,4773
47741,5,Retail sale of antiques and works of art,4774
47741,5,Retail sale of antiques and works of art,4791
47741,5,Retail sale of antiques and works of art,4799
